disciplina,tipo,carga_horaria,creditos_cadeira,nota,situacao,periodo
IF744 - ADM. DE SISTEMAS HETEROGENEOS,ELETI,75,4,,,
IF703 - AGENTES AUTONOMOS,ELETI,75,4,,,
IF763 - ALGEBRA LINEAR AVANC. COMPUTACAO,ELETI,75,5,,,
IF766 - ALGORITMOS DE APROXIMACAO,ELETI,75,5,,,
IF731 - AMBIENTES PROJETOS SIST.EMBUTIDOS,ELETI,75,5,,,
IF718 - ANALISE E PROJETOS DE SISTEMAS,ELETI,75,4,,,
IF752 - ANALISE IMAG. VISAO COMPUTACIONAL,ELETI,75,4,,,
IF765 - ANALISE NUMERICA,ELETI,75,5,,,
IF699 - APRENDIZAGEM DE MAQUINA,ELETI,75,4,,REPROVADO POR FALTA,2018.1
IF705 - AUTOMACAO INTELIGENTE,ELETI,75,4,,,
IF756 - AUTORIA MULTIMIDIA,ELETI,75,4,,,
IF742 - AVALIACAO DESEMPENHO DE SISTEMAS,ELETI,75,5,,,
IF695 - BANCO DE DADOS AVANÇADOS,ELETI,75,4,,,
IF694 - BANCO DE DADOS DISTRIB. E MOVEIS,ELETI,75,5,,,
IF764 - CALCULO AVANCADO PARA COMPUTACAO,ELETI,75,5,,,
IF715 - CALCULO DE PROGRAMAS,ELETI,75,5,,,
IF792 - COMERCIO ELETRONICO,ELETI,75,5,,,
IF804 - COMPARACAO ANALISE SEQUENCIAS DNA,ELETI,75,4,,,
IF774 - COMPLEXIDADE DESCRITIVA,ELETI,75,5,,,
IF750 - COMPUTACAO GRAFICA,ELETI,75,4,,,
IF754 - COMPUTACAO MUSICAL PROCESSAM.SOM,ELETI,75,4,9.50,APROVADO POR MÉDIA,2018.1
IF739 - COMUNICAÇÃO SEM FIO,ELETI,75,4,,,
IF784 - CONTABILIDADE FINANC. E GERENCIAL,ELETI,75,5,,,
IF835 - CONTROLE E MANIPULACAO,ELETI,75,5,,,
IF802 - CONVERGENCIA DIGITAL,ELETI,75,5,,,
IF719 - DESENVOLVIMENTO DE SISTEMAS,ELETI,75,4,,,
IF780 - ECONOMIA PARA EMPREENDEDOR,ELETI,75,5,,,
IF781 - EMPREENDIMENTOS EM INFORMATICA,ELETI,75,5,,,
IF701 - ENG.CONHEC.SISTEMAS ESPECIALISTAS,ELETI,75,4,,,
IF728 - ENGENHARIA DE SISTEMAS EMBUTIDOS,ELETI,75,4,,,
IF800 - ENGENHARIA SOFTWARE EDUCATIVOS,ELETI,75,4,,,
IF716 - ESPECIF.REQUIS.VALIDACAO SISTEMAS,ELETI,75,5,9.38,APROVADO POR MÉDIA,2020.3
FI006 - FISICA GERAL 1,ELETI,60,4,,,
